1	ٱلْفَاتِحَةِ	Al-Faatiha	The Opening	Meccan	7
2	البَقَرَةِ	Al-Baqara	The Cow	Medinan	286
3	آلِ عِمۡرَانَ	Aal-i-Imraan	The Family of Imraan	Medinan	200
4	النِّسَاءِ	An-Nisaa	The Women	Medinan	176
5	المَائـِدَةِ	Al-Maaida	The Table	Medinan	120
6	الأَنۡعَامِ	Al-An'aam	The Cattle	Meccan	165
7	الأَعۡرَافِ	Al-A'raaf	The Heights	Meccan	206
8	الأَنفَالِ	Al-Anfaal	The Spoils of War	Medinan	75
9	التَّوۡبَةِ	At-Tawba	The Repentance	Medinan	129
10	يُونُسَ	Yunus	Jonas	Meccan	109
11	هُودٍ	Hud	Hud	Meccan	123
12	يُوسُفَ	Yusuf	Joseph	Meccan	111
13	الرَّعۡدِ	Ar-Ra'd	The Thunder	Medinan	43
14	إِبۡرَاهِيمَ	Ibrahim	Abraham	Meccan	52
15	الحِجۡرِ	Al-Hijr	The Rock	Meccan	99
16	النَّحۡلِ	An-Nahl	The Bee	Meccan	128
17	الإِسۡرَاءِ	Al-Israa	The Night Journey	Meccan	111
18	الكَهۡفِ	Al-Kahf	The Cave	Meccan	110
19	مَرۡيَمَ	Maryam	Mary	Meccan	98
20	طه	Taa-Haa	Taa-Haa	Meccan	135
21	الأَنبِيَاءِ	Al-Anbiyaa	The Prophets	Meccan	112
22	الحَجِّ	Al-Hajj	The Pilgrimage	Medinan	78
23	المُؤۡمِنُونَ	Al-Muminoon	The Believers	Meccan	118
24	النُّورِ	An-Noor	The Light	Medinan	64
25	الفُرۡقَانِ	Al-Furqaan	The Criterion	Meccan	77
26	الشُّعَرَاءِ	Ash-Shu'araa	The Poets	Meccan	227
27	النَّمۡلِ	An-Naml	The Ant	Meccan	93
28	القَصَصِ	Al-Qasas	The Stories	Meccan	88
29	العَنكَبُوتِ	Al-Ankaboot	The Spider	Meccan	69
30	الرُّومِ	Ar-Room	The Romans	Meccan	60
31	لُقۡمَانَ	Luqman	Luqman	Meccan	34
32	السَّجۡدَةِ	As-Sajda	The Prostration	Meccan	30
33	الأَحۡزَابِ	Al-Ahzaab	The Clans	Medinan	73
34	سَبَإٍ	Saba	Sheba	Meccan	54
35	فَاطِرٍ	Faatir	The Originator	Meccan	45
36	يسٓ	Yaseen	Yaseen	Meccan	83
37	الصَّافَّاتِ	As-Saaffaat	Those drawn up in Ranks	Meccan	182
38	صٓ	Saad	The letter Saad	Meccan	88
39	الزُّمَرِ	Az-Zumar	The Groups	Meccan	75
40	غَافِرٍ	Ghafir	The Forgiver	Meccan	85
41	فُصِّلَتۡ	Fussilat	Explained in detail	Meccan	54
42	الشُّورَىٰ	Ash-Shura	Consultation	Meccan	53
43	الزُّخۡرُفِ	Az-Zukhruf	Ornaments of gold	Meccan	89
44	الدُّخَانِ	Ad-Dukhaan	The Smoke	Meccan	59
45	الجَاثِيَةِ	Al-Jaathiya	Crouching	Meccan	37
46	الأَحۡقَافِ	Al-Ahqaf	The Dunes	Meccan	35
47	مُحَمَّدٍ	Muhammad	Muhammad	Medinan	38
48	الفَتۡحِ	Al-Fath	The Victory	Medinan	29
49	الحُجُرَاتِ	Al-Hujuraat	The Inner Apartments	Medinan	18
50	قٓ	Qaaf	The letter Qaaf	Meccan	45
51	الذَّارِيَاتِ	Adh-Dhaariyat	The Winnowing Winds	Meccan	60
52	الطُّورِ	At-Tur	The Mount	Meccan	49
53	النَّجۡمِ	An-Najm	The Star	Meccan	62
54	القَمَرِ	Al-Qamar	The Moon	Meccan	55
55	الرَّحۡمَٰن	Ar-Rahmaan	The Beneficent	Medinan	78
56	الوَاقِعَةِ	Al-Waaqia	The Inevitable	Meccan	96
57	الحَدِيدِ	Al-Hadid	The Iron	Medinan	29
58	المُجَادلَةِ	Al-Mujaadila	The Pleading Woman	Medinan	22
59	الحَشۡرِ	Al-Hashr	The Exile	Medinan	24
60	المُمۡتَحنَةِ	Al-Mumtahana	She that is to be examined	Medinan	13
61	الصَّفِّ	As-Saff	The Ranks	Medinan	14
62	الجُمُعَةِ	Al-Jumu'a	Friday	Medinan	11
63	المُنَافِقُونَ	Al-Munaafiqoon	The Hypocrites	Medinan	11
64	التَّغَابُنِ	At-Taghaabun	Mutual Disillusion	Medinan	18
65	الطَّلَاقِ	At-Talaaq	Divorce	Medinan	12
